"","site_brom.id","site","mu","k","species","abundance","biomass","key","name0","Domain","Kingdom","Phyllum","Sub.Phyllum","class","Sub.Class","ord","subord","family","subfamily","genus","species.y","name1","name2","name3","realm","functional_group","micro_macro","predation","BS1","BS2","BS3","BS4","BS5","AS1","AS2","AS3","AS4","RE1","RE2","RE3","RE4","RE5","RE6","RE7","RE8","DM1","DM2","RF1","RF2","RF3","RF4","RM1","RM2","RM3","RM4","RM5","LO1","LO2","LO3","LO4","LO5","LO6","LO7","FD1","FD2","FD3","FD4","FD5","FD6","FD7","FD8","FG1","FG2","FG3","FG4","FG5","FG6"
"14","argentina_12","argentina",1.5,0.5,"Diptera.195",8,1.88571428571429,"k448","Pericoma cf. sp. 5544","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Psychodidae","Psychodinae","Pericoma",NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,2,0,0,2,0,0,0,1,3,0,0,2,2,0,0,0,3,0,0,1,0,2,3,0,0,1,3,2,2,1,1,0,0,3,0,0,0,0,0
"15","argentina_12","argentina",1.5,0.5,"Diptera.249",1,6.3,"k514","Tabanidae sp. 5554","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,NA,NA,"aquatic","piercer","macro","predator",0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,3,0,0,0,3,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,3,0
"16","argentina_12","argentina",1.5,0.5,"Diptera.250",1,14.6,"k515","Tabanidae sp. 5576","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,NA,NA,"aquatic","piercer","macro","predator",0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,3,0,0,0,3,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,3,0
"17","argentina_12","argentina",1.5,0.5,"Diptera.277",2,1.8,"k540","Tipulidae sp. 5559","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"18","argentina_12","argentina",1.5,0.5,"Diptera.61",28,0.224,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"19","argentina_13","argentina",0.4,1,"Coleoptera.17",1,4.4,"k40","Hydrophilidae sp. 5553","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Hydrophilidae",NA,NA,NA,NA,NA,NA,"aquatic","engulfer","macro","predator",0,0,0,3,0,3,3,2,2,0,0,0,3,1,0,1,0,0,3,0,0,0,3,1,1,1,3,0,1,0,3,3,2,0,0,0,0,0,3,0,0,3,1,0,1,0,0,1,3
"20","argentina_13","argentina",0.4,1,"Coleoptera.33",6,0.4,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"21","argentina_13","argentina",0.4,1,"Diptera.146",2,39.2,"k494","Eristalis cf. tenax sp. 5575","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Syrphidae","Eristalinae","Eristalis",NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,0,0,3,1,3,2,0,0,0,0,3,0,0,0,0,0,3,0,0,1,2,0,0,0,3,0,0,1,0,3,1,0,0,3,2,2,2,0,2,0,0,2,1,0,3,0,0
"22","argentina_13","argentina",0.4,1,"Diptera.195",2,0.471428571428571,"k448","Pericoma cf. sp. 5544","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Psychodidae","Psychodinae","Pericoma",NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,2,0,0,2,0,0,0,1,3,0,0,2,2,0,0,0,3,0,0,1,0,2,3,0,0,1,3,2,2,1,1,0,0,3,0,0,0,0,0
"23","argentina_13","argentina",0.4,1,"Diptera.250",1,7.5,"k515","Tabanidae sp. 5576","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,NA,NA,"aquatic","piercer","macro","predator",0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,3,0,0,0,3,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,3,0
"24","argentina_13","argentina",0.4,1,"Diptera.61",28,1.232,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"25","argentina_14","argentina",1.5,2,"Coleoptera.33",45,8.13829787234043,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"26","argentina_14","argentina",1.5,2,"Diptera.100",5,0.411764705882353,"k307","Culex sp. 5549","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae","Culex",NA,NA,NA,NA,"aquatic","filter.feeder","macro","prey",0,3,0,0,0,2,3,3,0,0,0,0,1,3,1,1,0,1,3,0,0,2,0,0,0,0,3,0,0,2,3,0,0,0,0,3,2,0,3,0,0,0,0,2,0,0,3,0,0
"27","argentina_14","argentina",1.5,2,"Diptera.277",3,0.9,"k540","Tipulidae sp. 5559","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"28","argentina_14","argentina",1.5,2,"Diptera.61",10,0.555555555555556,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"29","argentina_15","argentina",1,0.5,"Coleoptera.33",6,0.6,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"30","argentina_15","argentina",1,0.5,"Diptera.61",2,0.111111111111111,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"31","argentina_16","argentina",0.2,2,"Coleoptera.33",33,4.43793103448276,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"32","argentina_16","argentina",0.2,2,"Diptera.276",2,2.50909090909091,"k539","Tipulidae sp. 5552","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"33","argentina_16","argentina",0.2,2,"Diptera.61",11,0.611111111111111,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"34","argentina_17","argentina",1,1,"Coleoptera.33",2,0.12112676056338,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"35","argentina_17","argentina",1,1,"Diptera.100",1,0.0823529411764706,"k307","Culex sp. 5549","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae","Culex",NA,NA,NA,NA,"aquatic","filter.feeder","macro","prey",0,3,0,0,0,2,3,3,0,0,0,0,1,3,1,1,0,1,3,0,0,2,0,0,0,0,3,0,0,2,3,0,0,0,0,3,2,0,3,0,0,0,0,2,0,0,3,0,0
"36","argentina_17","argentina",1,1,"Diptera.250",1,6.1,"k515","Tabanidae sp. 5576","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,NA,NA,"aquatic","piercer","macro","predator",0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,3,0,0,0,3,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,3,0
"37","argentina_17","argentina",1,1,"Diptera.277",1,0.3,"k540","Tipulidae sp. 5559","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"38","argentina_17","argentina",1,1,"Diptera.61",18,0.75,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"39","argentina_18","argentina",2.5,2,"Coleoptera.33",1,0.0605633802816901,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"40","argentina_18","argentina",2.5,2,"Diptera.146",1,3,"k494","Eristalis cf. tenax sp. 5575","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Syrphidae","Eristalinae","Eristalis",NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,0,0,3,1,3,2,0,0,0,0,3,0,0,0,0,0,3,0,0,1,2,0,0,0,3,0,0,1,0,3,1,0,0,3,2,2,2,0,2,0,0,2,1,0,3,0,0
"41","argentina_18","argentina",2.5,2,"Diptera.195",2,0.471428571428571,"k448","Pericoma cf. sp. 5544","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Psychodidae","Psychodinae","Pericoma",NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,2,0,0,2,0,0,0,1,3,0,0,2,2,0,0,0,3,0,0,1,0,2,3,0,0,1,3,2,2,1,1,0,0,3,0,0,0,0,0
"42","argentina_18","argentina",2.5,2,"Diptera.249",1,7.5,"k514","Tabanidae sp. 5554","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,NA,NA,"aquatic","piercer","macro","predator",0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,3,0,0,0,3,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,3,0
"43","argentina_18","argentina",2.5,2,"Diptera.61",21,0.583333333333333,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"44","argentina_19","argentina",0.1,1,"Coleoptera.3",3,6.6,"k50","Coleoptera sp. 5564","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","engulfer","macro","predator",0,0,0,3,0,3,3,2,2,0,0,0,3,1,0,1,0,0,3,0,0,0,3,1,1,1,3,0,1,0,3,3,2,0,0,0,0,0,3,0,0,3,1,0,1,0,0,1,3
"45","argentina_19","argentina",0.1,1,"Coleoptera.33",4,0.16,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"46","argentina_19","argentina",0.1,1,"Diptera.276",2,2.2,"k539","Tipulidae sp. 5552","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"47","argentina_19","argentina",0.1,1,"Diptera.277",2,0.1,"k540","Tipulidae sp. 5559","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"48","argentina_19","argentina",0.1,1,"Diptera.61",3,0.166666666666667,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"49","argentina_2","argentina",0.6,1,"Coleoptera.33",18,2.3625,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"50","argentina_2","argentina",0.6,1,"Diptera.100",8,0.228571428571429,"k307","Culex sp. 5549","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae","Culex",NA,NA,NA,NA,"aquatic","filter.feeder","macro","prey",0,3,0,0,0,2,3,3,0,0,0,0,1,3,1,1,0,1,3,0,0,2,0,0,0,0,3,0,0,2,3,0,0,0,0,3,2,0,3,0,0,0,0,2,0,0,3,0,0
"51","argentina_2","argentina",0.6,1,"Diptera.146",3,48.3,"k494","Eristalis cf. tenax sp. 5575","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Syrphidae","Eristalinae","Eristalis",NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,0,0,3,1,3,2,0,0,0,0,3,0,0,0,0,0,3,0,0,1,2,0,0,0,3,0,0,1,0,3,1,0,0,3,2,2,2,0,2,0,0,2,1,0,3,0,0
"52","argentina_2","argentina",0.6,1,"Diptera.195",6,1.41428571428571,"k448","Pericoma cf. sp. 5544","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Psychodidae","Psychodinae","Pericoma",NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,2,0,0,2,0,0,0,1,3,0,0,2,2,0,0,0,3,0,0,1,0,2,3,0,0,1,3,2,2,1,1,0,0,3,0,0,0,0,0
"53","argentina_2","argentina",0.6,1,"Diptera.249",1,15,"k514","Tabanidae sp. 5554","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,NA,NA,"aquatic","piercer","macro","predator",0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,3,0,0,0,3,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,3,0
"54","argentina_2","argentina",0.6,1,"Diptera.276",7,1.9,"k539","Tipulidae sp. 5552","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"55","argentina_2","argentina",0.6,1,"Diptera.61",39,2.16666666666667,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
