site_brom.id,site,mu,k,bwg_name,abundance,biomass,species_id,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,subspecies,functional_group,predation,realm,micro_macro,barcode
argentina_13,argentina,0.4,1,Diptera.195,2,0.4714285714285714,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_13,argentina,0.4,1,Diptera.250,1,7.5,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_13,argentina,0.4,1,Diptera.61,28,1.2320000000000002,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_14,argentina,1.5,2,Coleoptera.33,45,8.138297872340425,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_14,argentina,1.5,2,Diptera.100,5,0.4117647058823529,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_14,argentina,1.5,2,Diptera.277,3,0.9,5771,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_14,argentina,1.5,2,Diptera.61,10,0.5555555555555556,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_15,argentina,1,0.5,Coleoptera.33,6,0.6,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_15,argentina,1,0.5,Diptera.61,2,0.11111111111111112,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_16,argentina,0.2,2,Coleoptera.33,33,4.437931034482759,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_16,argentina,0.2,2,Diptera.276,2,2.5090909090909093,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_16,argentina,0.2,2,Diptera.61,11,0.611111111111111,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_17,argentina,1,1,Coleoptera.33,2,0.12112676056338027,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_17,argentina,1,1,Diptera.100,1,0.08235294117647059,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_17,argentina,1,1,Diptera.250,1,6.1000000000000005,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_17,argentina,1,1,Diptera.277,1,0.3,5771,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_17,argentina,1,1,Diptera.61,18,0.75,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_18,argentina,2.5,2,Coleoptera.33,1,0.060563380281690136,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_18,argentina,2.5,2,Diptera.146,1,3,5516,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Syrphidae,Eristalinae,NA,Eristalis,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_18,argentina,2.5,2,Diptera.195,2,0.4714285714285714,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_18,argentina,2.5,2,Diptera.249,1,7.5,5631,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_18,argentina,2.5,2,Diptera.61,21,0.5833333333333334,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_19,argentina,0.1,1,Coleoptera.3,3,6.6,5551,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,NA,NA,NA,NA,NA,NA,NA,engulfer,predator,aquatic,macro,NA
argentina_19,argentina,0.1,1,Coleoptera.33,4,0.16,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_19,argentina,0.1,1,Diptera.276,2,2.2,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_19,argentina,0.1,1,Diptera.277,2,0.1,5771,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_19,argentina,0.1,1,Diptera.61,3,0.16666666666666669,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_2,argentina,0.6,1,Coleoptera.33,18,2.3625,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_2,argentina,0.6,1,Diptera.100,8,0.2285714285714286,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_2,argentina,0.6,1,Diptera.146,3,48.3,5516,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Syrphidae,Eristalinae,NA,Eristalis,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_2,argentina,0.6,1,Diptera.195,6,1.4142857142857144,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_2,argentina,0.6,1,Diptera.249,1,15,5631,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_2,argentina,0.6,1,Diptera.276,7,1.9000000000000001,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_2,argentina,0.6,1,Diptera.61,39,2.1666666666666665,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_20,argentina,0.6,0.5,Coleoptera.33,15,1.392857142857143,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_20,argentina,0.6,0.5,Diptera.100,3,0.24705882352941175,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_20,argentina,0.6,0.5,Diptera.249,1,2.9,5631,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_20,argentina,0.6,0.5,Diptera.277,2,0.6,5771,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_20,argentina,0.6,0.5,Diptera.61,7,0.3888888888888889,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_21,argentina,0.8,2,Coleoptera.33,4,0.39999999999999997,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_21,argentina,0.8,2,Diptera.100,10,0.8235294117647058,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_21,argentina,0.8,2,Diptera.250,1,9.1,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_21,argentina,0.8,2,Diptera.276,1,1,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_21,argentina,0.8,2,Diptera.61,21,0.7736842105263158,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_22,argentina,3,2,Coleoptera.33,22,3.921739130434783,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_22,argentina,3,2,Diptera.100,3,0.24705882352941175,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_22,argentina,3,2,Diptera.195,4,0.2,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_22,argentina,3,2,Diptera.249,1,2.4,5631,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_22,argentina,3,2,Diptera.276,2,1.9,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_22,argentina,3,2,Diptera.277,1,0.3,5771,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_22,argentina,3,2,Diptera.61,18,0.07500000000000001,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_23,argentina,0.6,2,Coleoptera.33,4,0.24225352112676055,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_23,argentina,0.6,2,Diptera.195,3,0.7071428571428572,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_23,argentina,0.6,2,Diptera.61,11,0.5,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_24,argentina,2,2,Coleoptera.33,32,5.264516129032258,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_24,argentina,2,2,Diptera.100,5,0.4117647058823529,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_24,argentina,2,2,Diptera.276,1,1.2545454545454546,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_24,argentina,2,2,Diptera.61,33,1.2571428571428573,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_25,argentina,2,1,Coleoptera.33,13,3.2500000000000004,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_25,argentina,2,1,Diptera.100,6,0.4941176470588235,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_25,argentina,2,1,Diptera.195,1,0.2357142857142857,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_25,argentina,2,1,Diptera.277,1,0.3,5771,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_25,argentina,2,1,Diptera.61,47,0.36153846153846153,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_25,argentina,2,1,Hirudinea.7,1,0.22666666666666702,6526,Eukaryota,Animalia,Annelida,NA,Clitellata,Hirudinea,NA,NA,NA,NA,NA,NA,NA,NA,engulfer,predator,aquatic,macro,NA
argentina_26,argentina,0.2,0.5,Coleoptera.33,23,0.9409090909090909,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_26,argentina,0.2,0.5,Diptera.250,1,16.9,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_26,argentina,0.2,0.5,Diptera.276,2,1.4,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_26,argentina,0.2,0.5,Diptera.61,11,0.611111111111111,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_27,argentina,1,2,Coleoptera.33,4,0.24225352112676055,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_27,argentina,1,2,Diptera.100,22,0.2444444444444445,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_27,argentina,1,2,Diptera.195,3,0.7071428571428572,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_27,argentina,1,2,Diptera.250,1,12,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_27,argentina,1,2,Diptera.277,1,0.3,5771,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_27,argentina,1,2,Diptera.61,23,0.8049999999999999,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_28,argentina,3,1,Coleoptera.33,5,0.8125,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_28,argentina,3,1,Diptera.100,7,0.5764705882352941,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_28,argentina,3,1,Diptera.195,2,0.4714285714285714,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_28,argentina,3,1,Diptera.250,1,13.899999999999999,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_28,argentina,3,1,Diptera.61,25,0.6666666666666666,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_29,argentina,0.8,0.5,Coleoptera.33,7,0.8,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_29,argentina,0.8,0.5,Diptera.100,1,0.08235294117647059,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_29,argentina,0.8,0.5,Diptera.61,12,0.6666666666666667,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_3,argentina,2,0.5,Coleoptera.33,14,0.5764705882352941,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_3,argentina,2,0.5,Diptera.195,1,0.2357142857142857,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_3,argentina,2,0.5,Diptera.250,1,3,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_3,argentina,2,0.5,Diptera.276,1,1.2545454545454546,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_30,argentina,0.4,0.5,Coleoptera.33,5,1.4999999999999998,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_30,argentina,0.4,0.5,Diptera.250,1,46.800000000000004,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_30,argentina,0.4,0.5,Diptera.61,7,0.3888888888888889,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_4,argentina,0.2,1,Diptera.146,1,6.2,5516,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Syrphidae,Eristalinae,NA,Eristalis,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_4,argentina,0.2,1,Diptera.195,5,1.1785714285714286,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_4,argentina,0.2,1,Diptera.276,2,2.5090909090909093,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
