"","site_brom.id","abundance","family"
"152","costarica_30",11,"Chironomidae"
"153","costarica_30",3,"Limoniidae"
"154","costarica_30",1,"Pseudostigmatidae"
"155","costarica_30",1,"Naididae"
"156","costarica_31",10,"Scirtidae"
"157","costarica_31",1,"Hydrophilidae"
"158","costarica_31",1,NA
"159","costarica_31",1,NA
"160","costarica_31",1,"Periscelididae"
"161","costarica_31",42,"Chironomidae"
"162","costarica_31",1,"Syrphidae"
"163","costarica_31",12,"Limoniidae"
"164","costarica_31",1,"Culicidae"
"165","costarica_31",2,"Culicidae"
"166","costarica_31",1,NA
"167","costarica_31",1,"Ceratopogonidae"
"168","costarica_31",9,"Naididae"
"169","costarica_32",14,"Scirtidae"
"170","costarica_32",1,NA
"171","costarica_32",2,NA
"172","costarica_32",29,"Chironomidae"
"173","costarica_32",1,"Tabanidae"
"174","costarica_32",4,"Limoniidae"
"175","costarica_32",1,"Culicidae"
"176","costarica_32",1,NA
"177","costarica_32",1,"Culicidae"
"178","costarica_32",12,"Naididae"
"179","costarica_33",10,"Scirtidae"
"180","costarica_33",1,NA
"181","costarica_33",1,"Chironomidae"
"182","costarica_33",1,"Tabanidae"
"183","costarica_33",9,"Limoniidae"
"184","costarica_33",1,"Tipulidae"
"185","costarica_33",2,"Naididae"
"186","costarica_35",10,"Scirtidae"
"187","costarica_35",37,"Chironomidae"
"188","costarica_35",1,"Syrphidae"
"189","costarica_35",33,"Limoniidae"
"190","costarica_35",2,"Culicidae"
"191","costarica_35",1,NA
"192","costarica_35",1,"Ceratopogonidae"
"193","costarica_35",10,"Naididae"
"194","costarica_36",6,"Scirtidae"
"195","costarica_36",2,"Hydrophilidae"
"196","costarica_36",1,NA
"197","costarica_36",1,NA
"198","costarica_36",2,"Dolichopodidae"
"199","costarica_36",3,"Chironomidae"
"200","costarica_36",1,"Syrphidae"
"201","costarica_36",7,"Limoniidae"
"202","costarica_36",3,NA
"203","costarica_36",2,"Naididae"
"204","costarica_37",5,"Scirtidae"
"205","costarica_37",2,NA
"206","costarica_37",6,"Chironomidae"
"207","costarica_37",2,"Psychodidae"
"208","costarica_37",9,"Limoniidae"
"209","costarica_37",14,"Naididae"
"210","costarica_4",9,"Scirtidae"
"211","costarica_4",1,"Hydrophilidae"
"212","costarica_4",3,NA
"213","costarica_4",42,"Chironomidae"
"214","costarica_4",1,"Tabanidae"
"215","costarica_4",1,"Syrphidae"
"216","costarica_4",13,"Limoniidae"
"217","costarica_4",2,"Culicidae"
"218","costarica_4",1,"Ceratopogonidae"
"219","costarica_4",42,"Naididae"
"220","costarica_8",3,"Scirtidae"
"221","costarica_8",1,"Dolichopodidae"
"222","costarica_8",6,"Chironomidae"
"223","costarica_8",11,"Limoniidae"
"224","costarica_8",4,"Naididae"
"225","costarica_9",2,"Scirtidae"
"226","costarica_9",1,NA
"227","costarica_9",1,"Tabanidae"
"228","costarica_9",2,"Syrphidae"
"229","costarica_9",2,"Limoniidae"
